date,Open,High,Low,Close,Volume_(BTC)
2013-04-05 01:30:00,135.5,137.9,135.5,137.385,146.352
2013-04-05 02:00:00,137.221,137.221,135.5,136.6,197.083
2013-04-05 02:30:00,136.75,137.0,136.7,136.7,72.541
2013-04-05 03:00:00,136.0,136.001,136.0,136.001,1.892
2013-04-05 03:30:00,135.999,137.403,135.999,137.403,44.394
2013-04-05 04:00:00,138.051,139.6,138.0,139.6,150.595
2013-04-05 04:30:00,139.6,139.8,138.495,138.495,492.94
2013-04-05 05:00:00,138.819,139.5,136.0,137.128,390.351
2013-04-05 05:30:00,136.049,137.069,135.3,137.068,144.707
2013-04-05 06:00:00,136.721,137.503,136.491,137.503,8.797
2013-04-05 06:30:00,138.0,138.1,137.378,137.889,40.411
2013-04-05 07:00:00,137.019,138.009,137.019,138.009,22.88
2013-04-05 07:30:00,137.8,138.5,137.761,138.46,202.076
2013-04-05 08:00:00,137.741,137.741,136.849,136.99,49.433
2013-04-05 08:30:00,136.988,137.0,136.949,136.95,91.956
2013-04-05 09:00:00,137.0,137.0,136.5,136.5,121.311
2013-04-05 09:30:00,136.5,137.0,135.399,136.99,1792.331
2013-04-05 10:00:00,137.7,137.77,136.74,137.0,89.431
2013-04-05 10:30:00,137.27,138.0,136.83,137.0,780.733
2013-04-05 11:00:00,137.0,139.0,136.819,138.0,291.998
2013-04-05 11:30:00,138.0,139.0,136.764,137.392,552.702
2013-04-05 12:00:00,138.29,138.301,137.999,138.301,92.978
2013-04-05 12:30:00,139.08,140.5,139.08,139.5,696.29
2013-04-05 13:00:00,140.0,140.7,139.98,140.0,155.574
2013-04-05 13:30:00,140.75,144.0,139.75,143.5,730.861
2013-04-05 14:00:00,140.76,144.5,140.76,143.001,458.783
2013-04-05 14:30:00,144.0,144.0,142.2,142.589,129.115
2013-04-05 15:00:00,142.2,143.0,140.012,140.012,394.943
2013-04-05 15:30:00,140.539,144.0,140.539,144.0,2.891
2013-04-05 16:00:00,142.406,145.0,142.406,143.981,341.74
2013-04-05 16:30:00,142.88,142.88,142.88,142.88,0.245
2013-04-05 17:00:00,142.85,143.0,142.199,142.52,27.832
2013-04-05 17:30:00,143.0,144.5,143.0,144.5,81.34
2013-04-05 18:00:00,143.399,144.45,143.399,144.0,41.687
2013-04-05 18:30:00,143.2,143.5,143.06,143.5,101.926
2013-04-05 19:00:00,143.001,143.001,142.999,142.999,5.659
2013-04-05 19:30:00,142.89,142.899,142.046,142.3,26.95
2013-04-05 20:30:00,142.8,142.8,141.5,141.52,162.043
2013-04-05 21:00:00,140.0,141.326,139.999,140.0,181.3
2013-04-05 21:30:00,141.0,141.101,139.0,140.0,242.887
2013-04-05 22:00:00,141.0,141.774,141.0,141.545,165.921
2013-04-05 22:30:00,141.9,141.99,141.0,141.99,32.769
2013-04-05 23:00:00,141.266,141.94,141.0,141.346,6.835
2013-04-05 23:30:00,142.99,142.99,142.99,142.99,61.25
2013-04-06 00:00:00,142.008,142.008,142.007,142.007,25.619
2013-04-06 00:30:00,142.23,142.5,140.902,141.0,17.255
2013-04-06 01:30:00,142.0,143.0,141.781,143.0,49.786
2013-04-06 02:00:00,142.99,143.0,142.98,143.0,379.51
2013-04-06 02:30:00,142.5,144.0,142.5,143.5,137.2
2013-04-06 03:00:00,143.5,143.5,142.522,143.0,230.348
2013-04-06 03:30:00,143.0,143.0,143.0,143.0,1.715
2013-04-06 04:30:00,142.5,142.5,141.611,142.5,227.934
2013-04-06 05:00:00,141.7,142.5,141.615,141.948,75.95
2013-04-06 05:30:00,142.011,142.45,141.948,141.948,20.58
2013-04-06 06:00:00,142.01,142.01,142.01,142.01,3.421
2013-04-06 06:30:00,143.0,143.0,143.0,143.0,2.426
2013-04-06 07:00:00,141.89,141.89,141.686,141.686,53.797
2013-04-06 07:30:00,141.74,142.0,141.6,141.6,16.952
2013-04-06 08:00:00,141.712,141.712,141.712,141.712,0.199
2013-04-06 08:30:00,141.5,141.501,141.5,141.501,27.7
2013-04-06 09:00:00,142.55,142.55,141.471,141.471,12.447
2013-04-06 09:30:00,141.5,141.5,141.201,141.201,177.94
2013-04-06 10:00:00,141.522,141.9,141.5,141.5,60.82
2013-04-06 10:30:00,141.349,141.979,141.349,141.979,19.6
2013-04-06 11:00:00,143.0,143.83,143.0,143.82,20.335
2013-04-06 11:30:00,143.83,144.0,143.0,143.25,236.351
2013-04-06 12:00:00,143.4,143.4,143.104,143.104,33.111
2013-04-06 12:30:00,142.9,143.25,142.9,143.2,68.821
2013-04-06 13:00:00,143.25,143.29,143.25,143.29,5.512
2013-04-06 13:30:00,143.0,143.0,142.49,142.49,16.254
2013-04-06 14:00:00,142.9,143.2,142.471,143.0,36.477
2013-04-06 14:30:00,142.98,142.98,142.8,142.8,1.275
2013-04-06 15:00:00,142.801,142.9,142.8,142.9,25.008
2013-04-06 15:30:00,142.998,142.998,142.611,142.611,1.743
2013-04-06 16:30:00,143.0,143.0,143.0,143.0,0.245
2013-04-06 17:00:00,143.001,143.5,142.501,142.999,93.309
2013-04-06 17:30:00,143.401,143.65,143.401,143.5,762.193
2013-04-06 18:00:00,143.501,143.62,142.951,142.951,46.817
2013-04-06 18:30:00,143.0,143.3,142.771,142.771,91.016
2013-04-06 19:00:00,142.9,143.49,142.507,142.507,803.767
2013-04-06 19:30:00,142.921,143.64,142.921,143.05,285.932
